,충전소명,충전소ID,충전기ID,충전타입,주소,위도,경도,상태갱신일시,최종충전시작,최종충전종료,충전중시작,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(1분),0 : 1
2183,예그린오피스텔,JE010226,02,02,제주특별자치도 제주시 삼무로 9,33.490205,126.487855,20220623013901,20211228183152,20211228201630,20211228201724,,,50,,,Y,2,2
2184,에이바우트커피 중앙여고점,JE010227,01,05,제주특별자치도 제주시 중앙로 343,33.491287,126.537459,20220625185101,20220625182436,20220625184856,20220625182436,,,50,,,Y,2,2
2185,에이바우트커피 중앙여고점,JE010227,02,02,제주특별자치도 제주시 중앙로 343,33.491287,126.537459,20220623094500,20220622160716,20220622172659,20220622160716,,,50,,,Y,2,2
2186,에이바우트커피 중앙여고점,JE010227,03,02,제주특별자치도 제주시 중앙로 343,33.491287,126.537459,20220623181200,20220623090324,20220623181111,20220623090324,,,50,,,Y,2,2
2187,에이바우트커피 삼화점,JE010228,01,02,제주특별자치도 제주시 동화로 56,33.515557,126.572828,20220625172701,20220624202308,20220625161253,20220624202308,,,50,,,Y,3,3
2188,에이바우트커피 삼화점,JE010228,02,05,제주특별자치도 제주시 동화로 56,33.515557,126.572828,20220626000309,20220625231643,20220626000135,20220625231643,,,50,,,Y,2,2
2189,썬그린하우스,JE010229,01,02,제주특별자치도 제주시 해안마을서4길 35,33.45880100,126.450648420,20220623011805,20220612071050,20220612071546,20220416180037,,,50,,,Y,2,2
2190,준그린하우스,JE010230,01,02,제주특별자치도 제주시 해안마을서4길 39,33.45840460,126.45073210,20220625190020,20220619235638,20220620115937,20220619235638,,,50,,,Y,3,3
2191,에버그린하우스,JE010231,01,02,제주특별자치도 제주시 해안마을서4길 43,33.45808660,126.45084370,20220623011805,20220618180458,20220618180904,20220607164008,,,50,,,Y,2,2
2192,씨앤하우스,JE010232,01,02,제주특별자치도 제주시 조천읍 함덕서4길 11,33.538462,126.662518,20220623011802,20220405141103,20220405141301,,,,50,,,Y,2,2
2193,다들빌라스,JE010233,01,02,제주특별자치도 제주시 광평서길 30-6,33.476429,126.465332,20220620224205,20220620065458,20220620133428,20220620065458,,,50,,,Y,2,2
2194,다들빌라스,JE010233,02,02,제주특별자치도 제주시 광평서길 30-6,33.476429,126.465332,20220624020901,20220623064636,20220623085331,20220623064636,,,50,,,Y,3,3
2195,다들빌라스,JE010233,03,02,제주특별자치도 제주시 광평서길 30-6,33.476429,126.465332,20220623011805,20220613064701,20220614235740,20220613064701,,,50,,,Y,2,2
2196,브릭캠퍼스,JE010234,01,05,제주특별자치도 제주시 1100로 3045,33.458189,126.485550,20220625172701,20220625171502,20220625172435,20220625171502,,,50,,,Y,2,2
2197,브릭캠퍼스,JE010234,02,05,제주특별자치도 제주시 1100로 3045,33.458189,126.485550,20220625154801,20220625141348,20220625154627,20220625141348,,,50,,,Y,2,2
