,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
519,마산종합운동장,04,경상남도 창원시 마산회원구 삼호로 63,35.2237949,128.5809706,200,동시,48,,,Y,2,2
520,마산종합운동장,04,경상남도 창원시 마산회원구 삼호로 63,35.2237949,128.5809706,200,동시,48,,,Y,2,2
521,시립테니스장,04,경상남도 창원시 성산구 비음로25번길 17,35.2308341,128.699075,200,동시,48,,,N,2,2
522,시립테니스장,04,경상남도 창원시 성산구 비음로25번길 17,35.2308341,128.699075,200,동시,48,,,N,2,2
523,창원국제사격장,04,경상남도 창원시 의창구 사림로 99번길63,35.2490817,128.6845347,200,동시,48,,,Y,2,2
524,창원국제사격장,04,경상남도 창원시 의창구 사림로 99번길63,35.2490817,128.6845347,200,동시,48,,,Y,3,3
525,해양공원 (경남 창원시),04,경상남도 창원시 진해구 명동로 62,35.0927280,128.7200478,100,단독,48,,,N,2,2
526,해양공원 (경남 창원시),04,경상남도 창원시 진해구 명동로 62,35.0927280,128.7200478,100,단독,48,,,N,2,2
527,한국교통안전공단 창원검사소,04,경상남도 창원시 의창구 창원대로 494,35.2290064,128.6499141,200,동시,48,,,Y,2,2
528,한국교통안전공단 창원검사소,04,경상남도 창원시 의창구 창원대로 494,35.2290064,128.6499141,200,동시,48,,,Y,2,2
529,국민연금공단 통영지사,04,경상남도 통영시 광도면 신죽3길 16,34.8739506,128.4179382,100,단독,48,,,Y,2,2
530,국민연금공단 통영지사,04,경상남도 통영시 광도면 신죽3길 16,34.8739506,128.4179382,100,단독,48,,,Y,2,2
531,한려해상국립공원 연화 주차장,04,null,34.77008387,128.4007875,200,동시,48,,,Y,2,2
532,한려해상국립공원 연화 주차장,04,null,34.77008387,128.4007875,200,동시,48,,,Y,2,2
533,횡천면 복지회관,04,경상남도 하동군 횡천면 횡보길 10,35.110085,127.8087485,100,단독,48,,,Y,2,2
